Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","10K","R_1206_3216Metric",17.780000,-18.415000,0.000000,bottom
"R2","10K","R_1206_3216Metric",23.495000,-26.035000,0.000000,bottom
"R3","10K","R_1206_3216Metric",38.100000,-13.970000,270.000000,bottom
"R4","36K","R_1206_3216Metric",16.510000,-32.385000,180.000000,bottom
"R5","36K","R_1206_3216Metric",38.735000,-29.210000,270.000000,bottom
"R6","36K","R_1206_3216Metric",42.545000,-12.700000,0.000000,bottom
"R7","22K","R_1206_3216Metric",21.590000,-29.845000,0.000000,bottom
"R8","22K","R_1206_3216Metric",22.225000,-19.050000,90.000000,bottom
"R9","22K","R_1206_3216Metric",34.290000,-1.905000,180.000000,bottom
"R10","10K","R_1206_3216Metric",5.080000,-40.640000,180.000000,bottom
"R11","10K","R_1206_3216Metric",15.240000,-38.735000,90.000000,bottom
"R12","10K","R_1206_3216Metric",16.510000,-27.940000,90.000000,bottom
"R13","10K","R_1206_3216Metric",68.580000,-54.610000,0.000000,bottom
"R14","10K","R_1206_3216Metric",66.675000,-60.960000,0.000000,bottom
"R15","10K","R_1206_3216Metric",53.975000,-88.265000,0.000000,bottom
"R16","36K","R_1206_3216Metric",69.215000,-21.590000,180.000000,bottom
"R17","36K","R_1206_3216Metric",67.310000,-57.785000,0.000000,bottom
"R18","36K","R_1206_3216Metric",60.325000,-88.265000,0.000000,bottom
"R19","22K","R_1206_3216Metric",70.485000,-18.415000,0.000000,bottom
"R20","22K","R_1206_3216Metric",64.135000,-41.717500,90.000000,bottom
"R21","22K","R_1206_3216Metric",75.565000,-41.717500,90.000000,bottom
"R22","10K","R_1206_3216Metric",65.405000,-19.685000,270.000000,bottom
"R23","10K","R_1206_3216Metric",64.135000,-13.335000,90.000000,bottom
"R24","10K","R_1206_3216Metric",85.090000,-1.905000,0.000000,bottom
"R25","10K","R_1206_3216Metric",105.852000,-61.595000,0.000000,bottom
"R26","10K","R_1206_3216Metric",105.852000,-84.455000,0.000000,bottom
"R27","10K","R_1206_3216Metric",108.585000,-88.900000,180.000000,bottom
"R28","36K","R_1206_3216Metric",128.270000,-60.960000,0.000000,bottom
"R29","36K","R_1206_3216Metric",117.475000,-39.370000,270.000000,bottom
"R30","36K","R_1206_3216Metric",123.190000,-22.225000,180.000000,bottom
"R31","22K","R_1206_3216Metric",117.475000,-22.225000,0.000000,bottom
"R32","22K","R_1206_3216Metric",118.745000,-31.115000,0.000000,bottom
"R33","22K","R_1206_3216Metric",121.285000,-19.050000,180.000000,bottom
"R34","10K","R_1206_3216Metric",118.110000,-54.610000,0.000000,bottom
"R35","10K","R_1206_3216Metric",123.190000,-102.235000,270.000000,bottom
"R36","10K","R_1206_3216Metric",122.555000,-36.830000,90.000000,bottom
"R37","18K","R_1206_3216Metric",39.370000,-23.495000,90.000000,bottom
"R38","18K","R_1206_3216Metric",41.275000,-18.415000,90.000000,bottom
"R39","18K","R_1206_3216Metric",17.780000,-23.495000,0.000000,bottom
"R40","18K","R_1206_3216Metric",83.820000,-40.640000,0.000000,bottom
"R41","18K","R_1206_3216Metric",88.900000,-13.335000,90.000000,bottom
"R42","18K","R_1206_3216Metric",74.295000,-24.322500,90.000000,bottom
"R43","18K","R_1206_3216Metric",128.270000,-40.640000,180.000000,bottom
"R44","18K","R_1206_3216Metric",132.522000,-1.905000,180.000000,bottom
"R45","18K","R_1206_3216Metric",123.190000,-26.035000,180.000000,bottom
"U1","TL084","SOIC-14_3.9x8.7mm_P1.27mm",19.685000,-11.430000,90,bottom
"U2","TL084","SOIC-14_3.9x8.7mm_P1.27mm",20.280000,-46.990000,90,bottom
"U3","TL084","SOIC-14_3.9x8.7mm_P1.27mm",69.830000,-46.990000,90,bottom
"U4","TL084","SOIC-14_3.9x8.7mm_P1.27mm",69.830000,-11.430000,90,bottom
"U5","TL084","SOIC-14_3.9x8.7mm_P1.27mm",119.340000,-11.430000,90,bottom
"U6","TL084","SOIC-14_3.9x8.7mm_P1.27mm",119.340000,-46.990000,90,bottom
